GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1400000US36047000100,36047000100,"Census Tract 1, Kings County, New York",88705,15140
1400000US36047000200,36047000200,"Census Tract 2, Kings County, New York",33988,7193
1400000US36047000301,36047000301,"Census Tract 3.01, Kings County, New York",119859,28848
1400000US36047000501,36047000501,"Census Tract 5.01, Kings County, New York",99574,21190
1400000US36047000502,36047000502,"Census Tract 5.02, Kings County, New York",92926,6023
1400000US36047000700,36047000700,"Census Tract 7, Kings County, New York",130660,16812
1400000US36047000900,36047000900,"Census Tract 9, Kings County, New York",105438,15405
1400000US36047001100,36047001100,"Census Tract 11, Kings County, New York",102292,22743
1400000US36047001300,36047001300,"Census Tract 13, Kings County, New York",99583,9347
1400000US36047001500,36047001500,"Census Tract 15, Kings County, New York",69375,15065
1400000US36047001800,36047001800,"Census Tract 18, Kings County, New York",-,**
1400000US36047002000,36047002000,"Census Tract 20, Kings County, New York",44773,19993
1400000US36047002100,36047002100,"Census Tract 21, Kings County, New York",170481,31207
1400000US36047002200,36047002200,"Census Tract 22, Kings County, New York",37048,6401
1400000US36047002300,36047002300,"Census Tract 23, Kings County, New York",16371,3577
1400000US36047002901,36047002901,"Census Tract 29.01, Kings County, New York",11014,3707
1400000US36047003000,36047003000,"Census Tract 30, Kings County, New York",61125,14995
1400000US36047003100,36047003100,"Census Tract 31, Kings County, New York",64713,10224
1400000US36047003300,36047003300,"Census Tract 33, Kings County, New York",83199,26944
1400000US36047003400,36047003400,"Census Tract 34, Kings County, New York",87934,15285
1400000US36047003500,36047003500,"Census Tract 35, Kings County, New York",48676,9085
1400000US36047003600,36047003600,"Census Tract 36, Kings County, New York",59450,8213
1400000US36047003700,36047003700,"Census Tract 37, Kings County, New York",71774,11966
1400000US36047003800,36047003800,"Census Tract 38, Kings County, New York",95074,4826
1400000US36047003900,36047003900,"Census Tract 39, Kings County, New York",80417,29162
1400000US36047004100,36047004100,"Census Tract 41, Kings County, New York",106150,28976
1400000US36047004300,36047004300,"Census Tract 43, Kings County, New York",108333,21346
1400000US36047004400,36047004400,"Census Tract 44, Kings County, New York",88182,8731
1400000US36047004500,36047004500,"Census Tract 45, Kings County, New York",102460,23847
1400000US36047004600,36047004600,"Census Tract 46, Kings County, New York",74583,20494
1400000US36047004700,36047004700,"Census Tract 47, Kings County, New York",96563,20381
1400000US36047004900,36047004900,"Census Tract 49, Kings County, New York",80556,20123
1400000US36047005000,36047005000,"Census Tract 50, Kings County, New York",64868,26221
1400000US36047005100,36047005100,"Census Tract 51, Kings County, New York",88912,21330
1400000US36047005201,36047005201,"Census Tract 52.01, Kings County, New York",17813,7547
1400000US36047005202,36047005202,"Census Tract 52.02, Kings County, New York",73295,12718
1400000US36047005300,36047005300,"Census Tract 53, Kings County, New York",70734,17896
1400000US36047005400,36047005400,"Census Tract 54, Kings County, New York",61250,13576
1400000US36047005601,36047005601,"Census Tract 56.01, Kings County, New York",53021,8476
1400000US36047005602,36047005602,"Census Tract 56.02, Kings County, New York",51738,17360
1400000US36047005800,36047005800,"Census Tract 58, Kings County, New York",51578,3840
1400000US36047005900,36047005900,"Census Tract 59, Kings County, New York",59676,10289
1400000US36047006000,36047006000,"Census Tract 60, Kings County, New York",62250,16372
1400000US36047006200,36047006200,"Census Tract 62, Kings County, New York",43806,4769
1400000US36047006300,36047006300,"Census Tract 63, Kings County, New York",92368,12595
1400000US36047006400,36047006400,"Census Tract 64, Kings County, New York",51066,7819
1400000US36047006500,36047006500,"Census Tract 65, Kings County, New York",94286,18088
1400000US36047006600,36047006600,"Census Tract 66, Kings County, New York",55565,7725
1400000US36047006700,36047006700,"Census Tract 67, Kings County, New York",123347,11905
1400000US36047006800,36047006800,"Census Tract 68, Kings County, New York",37060,6784
1400000US36047006900,36047006900,"Census Tract 69, Kings County, New York",109313,25637
1400000US36047007000,36047007000,"Census Tract 70, Kings County, New York",54856,9933
1400000US36047007100,36047007100,"Census Tract 71, Kings County, New York",36575,5776
1400000US36047007200,36047007200,"Census Tract 72, Kings County, New York",36763,6997
1400000US36047007400,36047007400,"Census Tract 74, Kings County, New York",35307,8170
1400000US36047007500,36047007500,"Census Tract 75, Kings County, New York",86583,17371
1400000US36047007600,36047007600,"Census Tract 76, Kings County, New York",34375,14351
1400000US36047007700,36047007700,"Census Tract 77, Kings County, New York",92833,24431
1400000US36047007800,36047007800,"Census Tract 78, Kings County, New York",39638,10883
1400000US36047008000,36047008000,"Census Tract 80, Kings County, New York",44276,7935
1400000US36047008200,36047008200,"Census Tract 82, Kings County, New York",50756,13924
1400000US36047008400,36047008400,"Census Tract 84, Kings County, New York",34274,10374
1400000US36047008500,36047008500,"Census Tract 85, Kings County, New York",17284,4312
1400000US36047008600,36047008600,"Census Tract 86, Kings County, New York",-,**
1400000US36047008800,36047008800,"Census Tract 88, Kings County, New York",39762,9139
1400000US36047009000,36047009000,"Census Tract 90, Kings County, New York",30795,6642
1400000US36047009200,36047009200,"Census Tract 92, Kings County, New York",36866,4792
1400000US36047009400,36047009400,"Census Tract 94, Kings County, New York",50147,16151
1400000US36047009600,36047009600,"Census Tract 96, Kings County, New York",41122,5406
1400000US36047009800,36047009800,"Census Tract 98, Kings County, New York",35613,5550
1400000US36047010000,36047010000,"Census Tract 100, Kings County, New York",27554,4716
1400000US36047010100,36047010100,"Census Tract 101, Kings County, New York",43198,3248
1400000US36047010200,36047010200,"Census Tract 102, Kings County, New York",45104,9167
1400000US36047010400,36047010400,"Census Tract 104, Kings County, New York",27041,9330
1400000US36047010600,36047010600,"Census Tract 106, Kings County, New York",29974,6616
1400000US36047010800,36047010800,"Census Tract 108, Kings County, New York",32917,10010
1400000US36047011000,36047011000,"Census Tract 110, Kings County, New York",35288,12164
1400000US36047011200,36047011200,"Census Tract 112, Kings County, New York",27679,3920
1400000US36047011400,36047011400,"Census Tract 114, Kings County, New York",39297,7435
1400000US36047011600,36047011600,"Census Tract 116, Kings County, New York",27267,3964
1400000US36047011700,36047011700,"Census Tract 117, Kings County, New York",64856,8576
1400000US36047011800,36047011800,"Census Tract 118, Kings County, New York",35735,9807
1400000US36047011900,36047011900,"Census Tract 119, Kings County, New York",72109,17141
1400000US36047012000,36047012000,"Census Tract 120, Kings County, New York",21711,26541
1400000US36047012100,36047012100,"Census Tract 121, Kings County, New York",66688,23026
1400000US36047012200,36047012200,"Census Tract 122, Kings County, New York",40645,6525
1400000US36047012600,36047012600,"Census Tract 126, Kings County, New York",31042,7403
1400000US36047012700,36047012700,"Census Tract 127, Kings County, New York",32935,13284
1400000US36047012801,36047012801,"Census Tract 128.01, Kings County, New York",53472,16246
1400000US36047012901,36047012901,"Census Tract 129.01, Kings County, New York",83990,15200
1400000US36047012902,36047012902,"Census Tract 129.02, Kings County, New York",81838,42287
1400000US36047013000,36047013000,"Census Tract 130, Kings County, New York",48889,9389
1400000US36047013100,36047013100,"Census Tract 131, Kings County, New York",107813,18523
1400000US36047013200,36047013200,"Census Tract 132, Kings County, New York",39538,4165
1400000US36047013300,36047013300,"Census Tract 133, Kings County, New York",109737,16485
1400000US36047013400,36047013400,"Census Tract 134, Kings County, New York",66250,18583
1400000US36047013500,36047013500,"Census Tract 135, Kings County, New York",107381,9645
1400000US36047013600,36047013600,"Census Tract 136, Kings County, New York",64313,14222
1400000US36047013700,36047013700,"Census Tract 137, Kings County, New York",81222,19678
1400000US36047013800,36047013800,"Census Tract 138, Kings County, New York",51206,21353
1400000US36047013900,36047013900,"Census Tract 139, Kings County, New York",72759,15044
1400000US36047014000,36047014000,"Census Tract 140, Kings County, New York",49297,19014
1400000US36047014100,36047014100,"Census Tract 141, Kings County, New York",80174,19402
1400000US36047014200,36047014200,"Census Tract 142, Kings County, New York",43893,11027
1400000US36047014300,36047014300,"Census Tract 143, Kings County, New York",58424,12684
1400000US36047014500,36047014500,"Census Tract 145, Kings County, New York",60659,12003
1400000US36047014700,36047014700,"Census Tract 147, Kings County, New York",59510,21363
1400000US36047014800,36047014800,"Census Tract 148, Kings County, New York",85313,27935
1400000US36047014900,36047014900,"Census Tract 149, Kings County, New York",95346,19488
1400000US36047015000,36047015000,"Census Tract 150, Kings County, New York",87857,15312
1400000US36047015100,36047015100,"Census Tract 151, Kings County, New York",117305,14675
1400000US36047015200,36047015200,"Census Tract 152, Kings County, New York",60391,12865
1400000US36047015300,36047015300,"Census Tract 153, Kings County, New York",122344,37771
1400000US36047015400,36047015400,"Census Tract 154, Kings County, New York",-,**
1400000US36047015500,36047015500,"Census Tract 155, Kings County, New York",107393,8630
1400000US36047015700,36047015700,"Census Tract 157, Kings County, New York",116905,18406
1400000US36047015900,36047015900,"Census Tract 159, Kings County, New York",112734,20564
1400000US36047016000,36047016000,"Census Tract 160, Kings County, New York",59303,12552
1400000US36047016100,36047016100,"Census Tract 161, Kings County, New York",102448,11555
1400000US36047016200,36047016200,"Census Tract 162, Kings County, New York",75750,22546
1400000US36047016300,36047016300,"Census Tract 163, Kings County, New York",73381,10400
1400000US36047016400,36047016400,"Census Tract 164, Kings County, New York",84792,31379
1400000US36047016500,36047016500,"Census Tract 165, Kings County, New York",123312,15863
1400000US36047016600,36047016600,"Census Tract 166, Kings County, New York",80156,28076
1400000US36047016700,36047016700,"Census Tract 167, Kings County, New York",108169,18884
1400000US36047016800,36047016800,"Census Tract 168, Kings County, New York",81635,11691
1400000US36047016900,36047016900,"Census Tract 169, Kings County, New York",67188,20763
1400000US36047017000,36047017000,"Census Tract 170, Kings County, New York",63750,12936
1400000US36047017100,36047017100,"Census Tract 171, Kings County, New York",105680,11519
1400000US36047017200,36047017200,"Census Tract 172, Kings County, New York",85610,47388
1400000US36047017400,36047017400,"Census Tract 174, Kings County, New York",52054,34817
1400000US36047017500,36047017500,"Census Tract 175, Kings County, New York",-,**
1400000US36047017600,36047017600,"Census Tract 176, Kings County, New York",34965,13943
1400000US36047017700,36047017700,"Census Tract 177, Kings County, New York",-,**
1400000US36047017800,36047017800,"Census Tract 178, Kings County, New York",53240,5426
1400000US36047017900,36047017900,"Census Tract 179, Kings County, New York",60357,15896
1400000US36047018000,36047018000,"Census Tract 180, Kings County, New York",39911,16105
1400000US36047018100,36047018100,"Census Tract 181, Kings County, New York",80769,6002
1400000US36047018200,36047018200,"Census Tract 182, Kings County, New York",36051,4894
1400000US36047018300,36047018300,"Census Tract 183, Kings County, New York",102669,26146
1400000US36047018400,36047018400,"Census Tract 184, Kings County, New York",52600,17740
1400000US36047018501,36047018501,"Census Tract 185.01, Kings County, New York",19828,3908
1400000US36047018600,36047018600,"Census Tract 186, Kings County, New York",58750,11527
1400000US36047018700,36047018700,"Census Tract 187, Kings County, New York",81065,33516
1400000US36047018800,36047018800,"Census Tract 188, Kings County, New York",70815,18988
1400000US36047019000,36047019000,"Census Tract 190, Kings County, New York",38727,4309
1400000US36047019100,36047019100,"Census Tract 191, Kings County, New York",49875,20850
1400000US36047019200,36047019200,"Census Tract 192, Kings County, New York",35915,4979
1400000US36047019300,36047019300,"Census Tract 193, Kings County, New York",51044,7786
1400000US36047019400,36047019400,"Census Tract 194, Kings County, New York",36979,7233
1400000US36047019500,36047019500,"Census Tract 195, Kings County, New York",63333,10339
1400000US36047019600,36047019600,"Census Tract 196, Kings County, New York",42340,7551
1400000US36047019700,36047019700,"Census Tract 197, Kings County, New York",77500,15644
1400000US36047019800,36047019800,"Census Tract 198, Kings County, New York",58661,29428
1400000US36047019900,36047019900,"Census Tract 199, Kings County, New York",64766,12665
1400000US36047020000,36047020000,"Census Tract 200, Kings County, New York",64250,15331
1400000US36047020100,36047020100,"Census Tract 201, Kings County, New York",76201,7125
1400000US36047020200,36047020200,"Census Tract 202, Kings County, New York",66000,20628
