GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",-,**
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",17282,4923
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",24371,4415
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",-,**
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",18832,4767
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",123516,14827
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",31196,3000
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",144018,27638
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",80223,28197
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",15890,3192
1400000US36061001200,36061001200,"Census Tract 12, New York County, New York",50000,11520
1400000US36061001300,36061001300,"Census Tract 13, New York County, New York",115938,20615
1400000US36061001401,36061001401,"Census Tract 14.01, New York County, New York",81700,29331
1400000US36061001402,36061001402,"Census Tract 14.02, New York County, New York",35870,13506
1400000US36061001501,36061001501,"Census Tract 15.01, New York County, New York",67045,13526
1400000US36061001502,36061001502,"Census Tract 15.02, New York County, New York",120208,25964
1400000US36061001600,36061001600,"Census Tract 16, New York County, New York",30714,9956
1400000US36061001800,36061001800,"Census Tract 18, New York County, New York",43089,5935
1400000US36061002000,36061002000,"Census Tract 20, New York County, New York",18488,1765
1400000US36061002100,36061002100,"Census Tract 21, New York County, New York",201731,43774
1400000US36061002201,36061002201,"Census Tract 22.01, New York County, New York",42118,7994
1400000US36061002202,36061002202,"Census Tract 22.02, New York County, New York",83807,19344
1400000US36061002400,36061002400,"Census Tract 24, New York County, New York",26287,5500
1400000US36061002500,36061002500,"Census Tract 25, New York County, New York",14645,2331
1400000US36061002601,36061002601,"Census Tract 26.01, New York County, New York",33893,5885
1400000US36061002602,36061002602,"Census Tract 26.02, New York County, New York",66944,23821
1400000US36061002700,36061002700,"Census Tract 27, New York County, New York",35179,20967
1400000US36061002800,36061002800,"Census Tract 28, New York County, New York",39479,11723
1400000US36061002900,36061002900,"Census Tract 29, New York County, New York",34327,11329
1400000US36061003001,36061003001,"Census Tract 30.01, New York County, New York",59828,17807
1400000US36061003002,36061003002,"Census Tract 30.02, New York County, New York",47500,13662
1400000US36061003100,36061003100,"Census Tract 31, New York County, New York",145521,22640
1400000US36061003200,36061003200,"Census Tract 32, New York County, New York",60902,8105
1400000US36061003300,36061003300,"Census Tract 33, New York County, New York",201050,54975
1400000US36061003400,36061003400,"Census Tract 34, New York County, New York",64707,13249
1400000US36061003601,36061003601,"Census Tract 36.01, New York County, New York",41053,17491
1400000US36061003602,36061003602,"Census Tract 36.02, New York County, New York",53546,12352
1400000US36061003700,36061003700,"Census Tract 37, New York County, New York",85457,16377
1400000US36061003800,36061003800,"Census Tract 38, New York County, New York",61714,7766
1400000US36061003900,36061003900,"Census Tract 39, New York County, New York",94444,32292
1400000US36061004000,36061004000,"Census Tract 40, New York County, New York",85055,10429
1400000US36061004100,36061004100,"Census Tract 41, New York County, New York",29977,12756
1400000US36061004200,36061004200,"Census Tract 42, New York County, New York",144821,19536
1400000US36061004300,36061004300,"Census Tract 43, New York County, New York",69381,7744
1400000US36061004400,36061004400,"Census Tract 44, New York County, New York",91611,11876
1400000US36061004500,36061004500,"Census Tract 45, New York County, New York",122250,53309
1400000US36061004700,36061004700,"Census Tract 47, New York County, New York",79680,18184
1400000US36061004800,36061004800,"Census Tract 48, New York County, New York",97449,15533
1400000US36061004900,36061004900,"Census Tract 49, New York County, New York",100433,14916
1400000US36061005000,36061005000,"Census Tract 50, New York County, New York",103198,18820
1400000US36061005200,36061005200,"Census Tract 52, New York County, New York",153472,72480
1400000US36061005400,36061005400,"Census Tract 54, New York County, New York",124464,51400
1400000US36061005501,36061005501,"Census Tract 55.01, New York County, New York",102762,32238
1400000US36061005502,36061005502,"Census Tract 55.02, New York County, New York",113973,13787
1400000US36061005600,36061005600,"Census Tract 56, New York County, New York",114402,28532
1400000US36061005700,36061005700,"Census Tract 57, New York County, New York",138750,26788
1400000US36061005800,36061005800,"Census Tract 58, New York County, New York",122417,69082
1400000US36061005900,36061005900,"Census Tract 59, New York County, New York",111174,29907
1400000US36061006000,36061006000,"Census Tract 60, New York County, New York",105321,18801
1400000US36061006100,36061006100,"Census Tract 61, New York County, New York",104222,21598
1400000US36061006200,36061006200,"Census Tract 62, New York County, New York",70179,21242
1400000US36061006300,36061006300,"Census Tract 63, New York County, New York",118359,28673
1400000US36061006400,36061006400,"Census Tract 64, New York County, New York",89337,13969
1400000US36061006500,36061006500,"Census Tract 65, New York County, New York",68946,10781
1400000US36061006600,36061006600,"Census Tract 66, New York County, New York",78459,23584
1400000US36061006700,36061006700,"Census Tract 67, New York County, New York",80450,16177
1400000US36061006800,36061006800,"Census Tract 68, New York County, New York",100346,14893
1400000US36061006900,36061006900,"Census Tract 69, New York County, New York",159942,46613
1400000US36061007000,36061007000,"Census Tract 70, New York County, New York",99587,9540
1400000US36061007100,36061007100,"Census Tract 71, New York County, New York",119417,26508
1400000US36061007200,36061007200,"Census Tract 72, New York County, New York",94583,16193
1400000US36061007300,36061007300,"Census Tract 73, New York County, New York",106583,6503
1400000US36061007400,36061007400,"Census Tract 74, New York County, New York",135524,23030
1400000US36061007500,36061007500,"Census Tract 75, New York County, New York",109432,34400
