GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1400000US36081000100,36081000100,"Census Tract 1, Queens County, New York",122178,10026
1400000US36081000200,36081000200,"Census Tract 2, Queens County, New York",55932,9732
1400000US36081000400,36081000400,"Census Tract 4, Queens County, New York",55268,15684
1400000US36081000600,36081000600,"Census Tract 6, Queens County, New York",53734,6866
1400000US36081000700,36081000700,"Census Tract 7, Queens County, New York",72344,22183
1400000US36081000800,36081000800,"Census Tract 8, Queens County, New York",63482,12830
1400000US36081001000,36081001000,"Census Tract 10, Queens County, New York",58750,23363
1400000US36081001200,36081001200,"Census Tract 12, Queens County, New York",56250,14466
1400000US36081001400,36081001400,"Census Tract 14, Queens County, New York",64545,9769
1400000US36081001600,36081001600,"Census Tract 16, Queens County, New York",45108,15413
1400000US36081001800,36081001800,"Census Tract 18, Queens County, New York",55776,14324
1400000US36081001900,36081001900,"Census Tract 19, Queens County, New York",75694,27555
1400000US36081002000,36081002000,"Census Tract 20, Queens County, New York",58009,21062
1400000US36081002200,36081002200,"Census Tract 22, Queens County, New York",60882,26299
1400000US36081002400,36081002400,"Census Tract 24, Queens County, New York",80194,21449
1400000US36081002500,36081002500,"Census Tract 25, Queens County, New York",20765,2339
1400000US36081002600,36081002600,"Census Tract 26, Queens County, New York",91473,14869
1400000US36081002800,36081002800,"Census Tract 28, Queens County, New York",61250,15305
1400000US36081003000,36081003000,"Census Tract 30, Queens County, New York",79323,25115
1400000US36081003100,36081003100,"Census Tract 31, Queens County, New York",56750,14357
1400000US36081003200,36081003200,"Census Tract 32, Queens County, New York",76450,8787
1400000US36081003300,36081003300,"Census Tract 33, Queens County, New York",44152,16109
1400000US36081003400,36081003400,"Census Tract 34, Queens County, New York",56548,27009
1400000US36081003600,36081003600,"Census Tract 36, Queens County, New York",56977,12043
1400000US36081003700,36081003700,"Census Tract 37, Queens County, New York",-,**
1400000US36081003800,36081003800,"Census Tract 38, Queens County, New York",49069,11794
1400000US36081003900,36081003900,"Census Tract 39, Queens County, New York",31964,9424
1400000US36081004001,36081004001,"Census Tract 40.01, Queens County, New York",52344,14833
1400000US36081004002,36081004002,"Census Tract 40.02, Queens County, New York",63281,50620
1400000US36081004200,36081004200,"Census Tract 42, Queens County, New York",55833,12279
1400000US36081004300,36081004300,"Census Tract 43, Queens County, New York",14844,6580
1400000US36081004401,36081004401,"Census Tract 44.01, Queens County, New York",52762,8766
1400000US36081004500,36081004500,"Census Tract 45, Queens County, New York",76576,13049
1400000US36081004700,36081004700,"Census Tract 47, Queens County, New York",30714,10191
1400000US36081005000,36081005000,"Census Tract 50, Queens County, New York",-,**
1400000US36081005100,36081005100,"Census Tract 51, Queens County, New York",42746,3675
1400000US36081005200,36081005200,"Census Tract 52, Queens County, New York",53438,11290
1400000US36081005300,36081005300,"Census Tract 53, Queens County, New York",54391,10346
1400000US36081005400,36081005400,"Census Tract 54, Queens County, New York",54309,10594
1400000US36081005500,36081005500,"Census Tract 55, Queens County, New York",54728,10162
1400000US36081005700,36081005700,"Census Tract 57, Queens County, New York",52427,11491
1400000US36081005800,36081005800,"Census Tract 58, Queens County, New York",67394,8614
1400000US36081005900,36081005900,"Census Tract 59, Queens County, New York",64535,5809
1400000US36081006100,36081006100,"Census Tract 61, Queens County, New York",54319,6271
1400000US36081006201,36081006201,"Census Tract 62.01, Queens County, New York",56563,9645
1400000US36081006202,36081006202,"Census Tract 62.02, Queens County, New York",55154,8086
1400000US36081006300,36081006300,"Census Tract 63, Queens County, New York",52606,9288
1400000US36081006501,36081006501,"Census Tract 65.01, Queens County, New York",56693,5548
1400000US36081006502,36081006502,"Census Tract 65.02, Queens County, New York",63380,11413
1400000US36081006900,36081006900,"Census Tract 69, Queens County, New York",40361,6043
1400000US36081007100,36081007100,"Census Tract 71, Queens County, New York",48348,8435
1400000US36081007300,36081007300,"Census Tract 73, Queens County, New York",62930,12238
1400000US36081007500,36081007500,"Census Tract 75, Queens County, New York",45163,10887
1400000US36081007700,36081007700,"Census Tract 77, Queens County, New York",91544,20639
1400000US36081007900,36081007900,"Census Tract 79, Queens County, New York",37813,11994
1400000US36081008100,36081008100,"Census Tract 81, Queens County, New York",55521,13960
1400000US36081008300,36081008300,"Census Tract 83, Queens County, New York",46389,10649
1400000US36081008500,36081008500,"Census Tract 85, Queens County, New York",45000,21672
1400000US36081008600,36081008600,"Census Tract 86, Queens County, New York",63182,18184
1400000US36081008700,36081008700,"Census Tract 87, Queens County, New York",22558,4783
1400000US36081008800,36081008800,"Census Tract 88, Queens County, New York",78135,9483
1400000US36081009100,36081009100,"Census Tract 91, Queens County, New York",69638,12032
1400000US36081009400,36081009400,"Census Tract 94, Queens County, New York",51786,12810
1400000US36081009500,36081009500,"Census Tract 95, Queens County, New York",57540,6109
1400000US36081009600,36081009600,"Census Tract 96, Queens County, New York",53504,7754
1400000US36081009700,36081009700,"Census Tract 97, Queens County, New York",66960,12063
1400000US36081009800,36081009800,"Census Tract 98, Queens County, New York",62898,12757
1400000US36081009900,36081009900,"Census Tract 99, Queens County, New York",-,**
1400000US36081010000,36081010000,"Census Tract 100, Queens County, New York",79327,24517
1400000US36081010100,36081010100,"Census Tract 101, Queens County, New York",53500,7688
1400000US36081010200,36081010200,"Census Tract 102, Queens County, New York",55474,8035
1400000US36081010300,36081010300,"Census Tract 103, Queens County, New York",50261,5105
1400000US36081010400,36081010400,"Census Tract 104, Queens County, New York",61027,15356
1400000US36081010500,36081010500,"Census Tract 105, Queens County, New York",48269,5496
1400000US36081010600,36081010600,"Census Tract 106, Queens County, New York",57200,13573
1400000US36081010701,36081010701,"Census Tract 107.01, Queens County, New York",-,**
1400000US36081010800,36081010800,"Census Tract 108, Queens County, New York",52022,6378
1400000US36081011000,36081011000,"Census Tract 110, Queens County, New York",48859,10118
1400000US36081011100,36081011100,"Census Tract 111, Queens County, New York",83080,19428
1400000US36081011200,36081011200,"Census Tract 112, Queens County, New York",44531,13696
1400000US36081011300,36081011300,"Census Tract 113, Queens County, New York",60764,10323
1400000US36081011400,36081011400,"Census Tract 114, Queens County, New York",42176,41171
1400000US36081011500,36081011500,"Census Tract 115, Queens County, New York",49384,5574
1400000US36081011600,36081011600,"Census Tract 116, Queens County, New York",52813,18248
1400000US36081011700,36081011700,"Census Tract 117, Queens County, New York",66269,7473
1400000US36081011800,36081011800,"Census Tract 118, Queens County, New York",49146,12370
1400000US36081011900,36081011900,"Census Tract 119, Queens County, New York",55387,8302
1400000US36081012000,36081012000,"Census Tract 120, Queens County, New York",68836,20692
1400000US36081012100,36081012100,"Census Tract 121, Queens County, New York",62788,15702
1400000US36081012200,36081012200,"Census Tract 122, Queens County, New York",48925,13480
1400000US36081012301,36081012301,"Census Tract 123.01, Queens County, New York",65045,11143
1400000US36081012400,36081012400,"Census Tract 124, Queens County, New York",53083,13340
1400000US36081012500,36081012500,"Census Tract 125, Queens County, New York",56125,8068
1400000US36081012601,36081012601,"Census Tract 126.01, Queens County, New York",57744,5896
1400000US36081012602,36081012602,"Census Tract 126.02, Queens County, New York",57083,10457
1400000US36081012800,36081012800,"Census Tract 128, Queens County, New York",59018,11280
1400000US36081013000,36081013000,"Census Tract 130, Queens County, New York",90536,45275
1400000US36081013200,36081013200,"Census Tract 132, Queens County, New York",67283,13919
1400000US36081013400,36081013400,"Census Tract 134, Queens County, New York",59160,8072
1400000US36081013500,36081013500,"Census Tract 135, Queens County, New York",59615,8090
1400000US36081013600,36081013600,"Census Tract 136, Queens County, New York",50625,20003
1400000US36081013700,36081013700,"Census Tract 137, Queens County, New York",50852,4378
1400000US36081013800,36081013800,"Census Tract 138, Queens County, New York",50590,4482
1400000US36081014000,36081014000,"Census Tract 140, Queens County, New York",65481,17684
1400000US36081014100,36081014100,"Census Tract 141, Queens County, New York",58029,15011
1400000US36081014201,36081014201,"Census Tract 142.01, Queens County, New York",56429,9388
1400000US36081014202,36081014202,"Census Tract 142.02, Queens County, New York",50094,15493
1400000US36081014300,36081014300,"Census Tract 143, Queens County, New York",55938,7963
1400000US36081014400,36081014400,"Census Tract 144, Queens County, New York",57139,3423
1400000US36081014500,36081014500,"Census Tract 145, Queens County, New York",59205,18872
1400000US36081014700,36081014700,"Census Tract 147, Queens County, New York",51131,10240
1400000US36081014800,36081014800,"Census Tract 148, Queens County, New York",57982,11301
1400000US36081014900,36081014900,"Census Tract 149, Queens County, New York",61719,25183
1400000US36081015000,36081015000,"Census Tract 150, Queens County, New York",71917,20604
1400000US36081015100,36081015100,"Census Tract 151, Queens County, New York",58021,7158
1400000US36081015200,36081015200,"Census Tract 152, Queens County, New York",57065,27281
1400000US36081015300,36081015300,"Census Tract 153, Queens County, New York",58462,6869
1400000US36081015400,36081015400,"Census Tract 154, Queens County, New York",43500,23248
1400000US36081015500,36081015500,"Census Tract 155, Queens County, New York",65625,17866
1400000US36081015600,36081015600,"Census Tract 156, Queens County, New York",63355,25547
1400000US36081015700,36081015700,"Census Tract 157, Queens County, New York",43964,5536
1400000US36081015801,36081015801,"Census Tract 158.01, Queens County, New York",48767,11674
1400000US36081015802,36081015802,"Census Tract 158.02, Queens County, New York",60436,21961
1400000US36081015900,36081015900,"Census Tract 159, Queens County, New York",43583,6979
1400000US36081016100,36081016100,"Census Tract 161, Queens County, New York",54071,12082
1400000US36081016300,36081016300,"Census Tract 163, Queens County, New York",28581,4195
1400000US36081016400,36081016400,"Census Tract 164, Queens County, New York",58187,8543
1400000US36081016600,36081016600,"Census Tract 166, Queens County, New York",52031,13309
1400000US36081016800,36081016800,"Census Tract 168, Queens County, New York",63234,8037
1400000US36081016900,36081016900,"Census Tract 169, Queens County, New York",62300,10190
1400000US36081017000,36081017000,"Census Tract 170, Queens County, New York",44038,8457
1400000US36081017100,36081017100,"Census Tract 171, Queens County, New York",-,**
1400000US36081017200,36081017200,"Census Tract 172, Queens County, New York",59094,20173
1400000US36081017400,36081017400,"Census Tract 174, Queens County, New York",65905,23876
1400000US36081017600,36081017600,"Census Tract 176, Queens County, New York",59803,17195
1400000US36081017800,36081017800,"Census Tract 178, Queens County, New York",43667,12335
1400000US36081017900,36081017900,"Census Tract 179, Queens County, New York",40625,10993
1400000US36081018000,36081018000,"Census Tract 180, Queens County, New York",58355,14952
1400000US36081018101,36081018101,"Census Tract 181.01, Queens County, New York",36458,7395
1400000US36081018102,36081018102,"Census Tract 181.02, Queens County, New York",54577,8645
1400000US36081018200,36081018200,"Census Tract 182, Queens County, New York",53561,6090
1400000US36081018300,36081018300,"Census Tract 183, Queens County, New York",55648,9429
1400000US36081018401,36081018401,"Census Tract 184.01, Queens County, New York",51811,15632
1400000US36081018402,36081018402,"Census Tract 184.02, Queens County, New York",63500,13303
1400000US36081018501,36081018501,"Census Tract 185.01, Queens County, New York",51053,8230
1400000US36081018502,36081018502,"Census Tract 185.02, Queens County, New York",63824,8003
1400000US36081018600,36081018600,"Census Tract 186, Queens County, New York",58188,7941
1400000US36081018700,36081018700,"Census Tract 187, Queens County, New York",64375,15893
1400000US36081018800,36081018800,"Census Tract 188, Queens County, New York",87143,11143
1400000US36081018900,36081018900,"Census Tract 189, Queens County, New York",49965,14043
1400000US36081019000,36081019000,"Census Tract 190, Queens County, New York",62955,10494
1400000US36081019200,36081019200,"Census Tract 192, Queens County, New York",48906,16696
1400000US36081019400,36081019400,"Census Tract 194, Queens County, New York",64961,9811
1400000US36081019600,36081019600,"Census Tract 196, Queens County, New York",55417,13458
1400000US36081019800,36081019800,"Census Tract 198, Queens County, New York",37750,8263
1400000US36081019900,36081019900,"Census Tract 199, Queens County, New York",55568,10903
1400000US36081020200,36081020200,"Census Tract 202, Queens County, New York",55941,10877
1400000US36081020400,36081020400,"Census Tract 204, Queens County, New York",49046,16003
1400000US36081020500,36081020500,"Census Tract 205, Queens County, New York",50238,10183
1400000US36081020600,36081020600,"Census Tract 206, Queens County, New York",53400,8040
1400000US36081020800,36081020800,"Census Tract 208, Queens County, New York",51222,9296
1400000US36081021200,36081021200,"Census Tract 212, Queens County, New York",33578,14928
1400000US36081021400,36081021400,"Census Tract 214, Queens County, New York",56295,12838
1400000US36081021600,36081021600,"Census Tract 216, Queens County, New York",65461,26559
1400000US36081021900,36081021900,"Census Tract 219, Queens County, New York",-,**
